,Date,State,Confirmed,Recovered,Deceased,Other,Tested
19,2020-04-01,Maharashtra,335,39,16,0,
50,2020-04-02,Maharashtra,423,42,21,0,
81,2020-04-03,Maharashtra,487,50,26,0,
112,2020-04-04,Maharashtra,635,52,32,0,
143,2020-04-05,Maharashtra,747,56,45,0,16008.0
174,2020-04-06,Maharashtra,868,70,52,0,17563.0
207,2020-04-07,Maharashtra,1018,79,64,0,20877.0
240,2020-04-08,Maharashtra,1135,117,72,0,20877.0
274,2020-04-09,Maharashtra,1364,125,97,0,20877.0
308,2020-04-10,Maharashtra,1574,188,110,0,30000.0
342,2020-04-11,Maharashtra,1761,208,127,0,31841.0
376,2020-04-12,Maharashtra,1982,217,149,0,35668.0
410,2020-04-13,Maharashtra,2334,229,160,0,39725.0
445,2020-04-14,Maharashtra,2680,259,178,0,41071.0
480,2020-04-15,Maharashtra,2916,295,187,0,45142.0
515,2020-04-16,Maharashtra,3201,300,194,0,50882.0
550,2020-04-17,Maharashtra,3321,331,201,0,55678.0
585,2020-04-18,Maharashtra,3648,365,211,0,60166.0
620,2020-04-19,Maharashtra,4200,507,223,0,66796.0
655,2020-04-20,Maharashtra,4666,572,232,0,71321.0
690,2020-04-21,Maharashtra,5218,722,251,0,75838.0
725,2020-04-22,Maharashtra,5649,789,269,0,82304.0
760,2020-04-23,Maharashtra,6427,840,283,0,89197.0
795,2020-04-24,Maharashtra,6817,957,301,0,95210.0
830,2020-04-25,Maharashtra,7628,1076,323,0,100912.0
865,2020-04-26,Maharashtra,8068,1188,342,0,107979.0
900,2020-04-27,Maharashtra,8590,1282,369,0,115147.0
935,2020-04-28,Maharashtra,9318,1388,400,0,120620.0
970,2020-04-29,Maharashtra,9915,1593,432,0,128726.0
1005,2020-04-30,Maharashtra,10498,1773,459,0,135694.0
1040,2020-05-01,Maharashtra,11506,1879,485,0,144159.0
1075,2020-05-02,Maharashtra,12296,2000,521,0,151085.0
1110,2020-05-03,Maharashtra,12974,2115,548,0,159754.0
1145,2020-05-04,Maharashtra,14541,2465,583,0,168374.0
1181,2020-05-05,Maharashtra,15525,2819,617,0,175323.0
1217,2020-05-06,Maharashtra,16758,3094,651,0,181746.0
1253,2020-05-07,Maharashtra,17974,3301,694,0,189220.0
1289,2020-05-08,Maharashtra,19063,3470,731,0,200477.0
1325,2020-05-09,Maharashtra,20228,3800,779,0,210174.0
1361,2020-05-10,Maharashtra,22171,4199,832,0,225524.0
1397,2020-05-11,Maharashtra,23401,4786,868,0,218914.0
1433,2020-05-12,Maharashtra,24427,5125,921,0,222284.0
1469,2020-05-13,Maharashtra,25922,5547,975,0,231061.0
1505,2020-05-14,Maharashtra,27524,6089,1019,0,240482.0
1541,2020-05-15,Maharashtra,29100,6564,1068,0,250898.0
1577,2020-05-16,Maharashtra,30706,7088,1135,0,261815.0
1613,2020-05-17,Maharashtra,33053,7688,1198,0,274040.0
1649,2020-05-18,Maharashtra,35058,8437,1249,0,282437.0
1685,2020-05-19,Maharashtra,37136,9639,1325,0,294272.0
1722,2020-05-20,Maharashtra,39297,10318,1390,0,307535.0
1759,2020-05-21,Maharashtra,41642,11726,1454,0,319921.0
1796,2020-05-22,Maharashtra,44582,12583,1517,0,333087.0
1833,2020-05-23,Maharashtra,47190,13404,1577,0,348932.0
1870,2020-05-24,Maharashtra,50231,14600,1635,0,363470.0
1907,2020-05-25,Maharashtra,52667,15786,1695,0,379185.0
1944,2020-05-26,Maharashtra,54758,16954,1792,0,390757.0
1981,2020-05-27,Maharashtra,56948,17918,1897,0,405020.0
2018,2020-05-28,Maharashtra,59546,18616,1982,0,420473.0
2055,2020-05-29,Maharashtra,62228,26997,2098,0,434565.0
2092,2020-05-30,Maharashtra,65168,28081,2197,0,448661.0
2129,2020-05-31,Maharashtra,67655,29329,2286,0,463177.0
2166,2020-06-01,Maharashtra,70013,30108,2362,0,472344.0
2203,2020-06-02,Maharashtra,72300,31333,2465,0,484784.0
2240,2020-06-03,Maharashtra,74860,32329,2587,0,498577.0
2277,2020-06-04,Maharashtra,77793,33681,2710,0,511136.0
2314,2020-06-05,Maharashtra,80229,35147,2849,0,524002.0
2351,2020-06-06,Maharashtra,82968,37390,2969,0,538009.0
2388,2020-06-07,Maharashtra,85975,39314,3060,0,553063.0
2425,2020-06-08,Maharashtra,88529,40975,3169,0,565290.0
2462,2020-06-09,Maharashtra,90787,42639,3289,0,579294.0
2499,2020-06-10,Maharashtra,94041,44516,3438,0,595282.0
2536,2020-06-11,Maharashtra,97648,46078,3590,0,610790.0
2573,2020-06-12,Maharashtra,101141,47796,3717,0,626521.0
2610,2020-06-13,Maharashtra,104568,49346,3830,13,643057.0
2647,2020-06-14,Maharashtra,107958,50978,3950,13,659481.0
2684,2020-06-15,Maharashtra,110744,56049,4128,13,671348.0
2721,2020-06-16,Maharashtra,113445,57851,5537,13,686488.0
2758,2020-06-17,Maharashtra,116752,59166,5651,13,686488.0
2795,2020-06-18,Maharashtra,120504,60838,5751,13,719637.0
2832,2020-06-19,Maharashtra,124331,62773,5893,13,737597.0
2869,2020-06-20,Maharashtra,128205,64153,5984,14,756809.0
2906,2020-06-21,Maharashtra,132075,65744,6170,14,775958.0
2943,2020-06-22,Maharashtra,135796,67706,6283,14,789016.0
2980,2020-06-23,Maharashtra,139010,69631,6531,15,804726.0
3017,2020-06-24,Maharashtra,142899,73792,6739,15,826139.0
3054,2020-06-25,Maharashtra,147741,77453,6931,15,850410.0
3091,2020-06-26,Maharashtra,152765,79815,7106,15,873570.0
3128,2020-06-27,Maharashtra,159133,84245,7273,15,900423.0
3165,2020-06-28,Maharashtra,164626,86575,7429,15,926934.0
3202,2020-06-29,Maharashtra,169883,88960,7610,15,946518.0
3239,2020-06-30,Maharashtra,174761,90911,7855,16,970161.0
3276,2020-07-01,Maharashtra,180298,93154,8053,16,995343.0
3313,2020-07-02,Maharashtra,186626,101172,8178,16,1023296.0
3350,2020-07-03,Maharashtra,192990,104687,8376,16,1052643.0
3387,2020-07-04,Maharashtra,200064,108082,8671,16,1085160.0
3424,2020-07-05,Maharashtra,206619,111740,8822,17,1116112.0
3461,2020-07-06,Maharashtra,211987,115262,9026,17,1138706.0
3498,2020-07-07,Maharashtra,217121,118558,9250,19,1164860.0
3535,2020-07-08,Maharashtra,223724,123192,9448,19,1194565.0
3572,2020-07-09,Maharashtra,230599,127259,9667,19,1225831.0
3609,2020-07-10,Maharashtra,238461,132625,9893,296,1257564.0
3646,2020-07-11,Maharashtra,246600,136985,10116,297,1289325.0
3683,2020-07-12,Maharashtra,254427,140325,10289,297,1321715.0
3720,2020-07-13,Maharashtra,260924,144507,10482,297,1345128.0
3757,2020-07-14,Maharashtra,267665,149007,10695,298,1376203.0
3794,2020-07-15,Maharashtra,275640,152613,10928,298,1413185.0
3831,2020-07-16,Maharashtra,284281,158140,11194,299,1450129.0
3868,2020-07-17,Maharashtra,292589,160357,11452,300,1487738.0
3905,2020-07-18,Maharashtra,300937,165663,11596,301,1526037.0
3942,2020-07-19,Maharashtra,310455,169569,11854,302,1568229.0
3978,2020-07-20,Maharashtra,318695,175029,12030,302,1603802.0
4014,2020-07-21,Maharashtra,327031,182217,12276,302,1643981.0
4050,2020-07-22,Maharashtra,337607,187769,12556,302,1691546.0
4086,2020-07-23,Maharashtra,347502,194253,12854,302,1741992.0
4122,2020-07-24,Maharashtra,357117,199967,13132,304,1790610.0
4158,2020-07-25,Maharashtra,366368,207194,13389,304,1840445.0
4194,2020-07-26,Maharashtra,375799,213238,13656,304,1890256.0
4230,2020-07-27,Maharashtra,383723,221944,13883,304,1928333.0
4266,2020-07-28,Maharashtra,391440,232277,14165,304,1972346.0
4302,2020-07-29,Maharashtra,400651,239755,14463,304,2021437.0
4338,2020-07-30,Maharashtra,411798,248615,14729,304,2075528.0
4374,2020-07-31,Maharashtra,422118,256158,14994,304,2133720.0
4410,2020-08-01,Maharashtra,431719,266883,15316,306,2198423.0
4446,2020-08-02,Maharashtra,441228,276809,15576,306,2260160.0
4482,2020-08-03,Maharashtra,450196,287030,15842,306,2301514.0
4518,2020-08-04,Maharashtra,457956,299356,16142,307,2354414.0
4554,2020-08-05,Maharashtra,468265,305521,16476,307,2418299.0
4590,2020-08-06,Maharashtra,479779,316375,16792,307,2492194.0
4626,2020-08-07,Maharashtra,490262,327281,17092,307,2574594.0
4662,2020-08-08,Maharashtra,503084,338362,17367,307,2654681.0
4698,2020-08-09,Maharashtra,515332,351710,17757,307,2730285.0
4734,2020-08-10,Maharashtra,524513,358421,18050,307,2776849.0
4770,2020-08-11,Maharashtra,535601,368435,18306,307,2841240.0
4806,2020-08-12,Maharashtra,548313,381843,18650,307,2913686.0
4842,2020-08-13,Maharashtra,560126,390958,19063,307,2981077.0
4878,2020-08-14,Maharashtra,572734,401442,19427,310,3049468.0
4914,2020-08-15,Maharashtra,584754,408286,19749,310,3115716.0
4950,2020-08-16,Maharashtra,595865,417123,20037,310,3165550.0
4986,2020-08-17,Maharashtra,604358,428514,20265,311,3208735.0
5022,2020-08-18,Maharashtra,615477,437870,20687,312,3267625.0
5058,2020-08-19,Maharashtra,628642,446881,21033,315,3343052.0
5094,2020-08-20,Maharashtra,643289,459124,21359,315,3419643.0
5130,2020-08-21,Maharashtra,657450,470873,21698,317,3498166.0
5166,2020-08-22,Maharashtra,671942,480114,21995,317,3575566.0
5202,2020-08-23,Maharashtra,682383,488271,22253,317,3621321.0
5238,2020-08-24,Maharashtra,693398,502490,22465,317,3667937.0
5274,2020-08-25,Maharashtra,703823,514790,22794,318,3711123.0
5310,2020-08-26,Maharashtra,718711,522427,23089,322,3798306.0
5346,2020-08-27,Maharashtra,733568,531563,23444,327,3868755.0
5382,2020-08-28,Maharashtra,747995,543170,23775,332,3939761.0
5418,2020-08-29,Maharashtra,764281,554711,24103,336,4017175.0
5454,2020-08-30,Maharashtra,780689,562401,24399,341,4092620.0
5490,2020-08-31,Maharashtra,792541,573559,24583,343,4145123.0
5526,2020-09-01,Maharashtra,808306,584537,24903,343,4212148.0
5562,2020-09-02,Maharashtra,825739,598496,25195,345,4288999.0
5598,2020-09-03,Maharashtra,843844,612484,25586,346,4382985.0
5634,2020-09-04,Maharashtra,863062,625773,25964,347,4474971.0
5670,2020-09-05,Maharashtra,883862,636574,26276,351,4565368.0
5706,2020-09-06,Maharashtra,907212,644400,26604,351,4655545.0
5742,2020-09-07,Maharashtra,923641,659322,27027,358,4712017.0
5778,2020-09-08,Maharashtra,943772,672556,27407,363,4792351.0
5814,2020-09-09,Maharashtra,967349,686462,27787,366,4890086.0
5850,2020-09-10,Maharashtra,990795,700715,28282,366,4974558.0
5886,2020-09-11,Maharashtra,1015681,715023,28724,368,5072521.0
5922,2020-09-12,Maharashtra,1037765,728512,29115,370,5164840.0
5958,2020-09-13,Maharashtra,1060308,740061,29531,372,5253676.0
5994,2020-09-14,Maharashtra,1077374,755850,29894,374,5321116.0
6030,2020-09-15,Maharashtra,1097856,775273,30409,377,5409060.0
6066,2020-09-16,Maharashtra,1121221,792832,30883,381,5506276.0
6102,2020-09-17,Maharashtra,1145840,812354,31351,383,5604890.0
6138,2020-09-18,Maharashtra,1167496,834432,31791,386,5693345.0
6174,2020-09-19,Maharashtra,1188015,857933,32216,386,5786147.0
6210,2020-09-20,Maharashtra,1208642,884341,32671,392,5872241.0
6246,2020-09-21,Maharashtra,1224380,916348,33015,394,5912258.0
6282,2020-09-22,Maharashtra,1242770,936554,33407,399,6017284.0
6318,2020-09-23,Maharashtra,1263799,956030,33886,406,6106787.0
6354,2020-09-24,Maharashtra,1282963,973214,34345,411,6190389.0
6390,2020-09-25,Maharashtra,1300757,992806,34761,415,6280788.0
6426,2020-09-26,Maharashtra,1321176,1016450,35191,416,6376676.0
6462,2020-09-27,Maharashtra,1339232,1030015,35571,418,6565649.0
6498,2020-09-28,Maharashtra,1351153,1049947,35751,422,6622384.0
6534,2020-09-29,Maharashtra,1366129,1069159,36181,426,6698024.0
6570,2020-09-30,Maharashtra,1384446,1088322,36662,429,6785205.0
