      loss    mean_absolute_error    mean_squared_logarithmic_error
----------  ---------------------  --------------------------------
64.3857                 6.43598                          1.48664
52.3452                 6.23098                          1.29446
36.5315                 4.84495                          0.982179
21.6819                 3.61209                          0.802282
18.3756                 3.14196                          0.685483
11.0088                 2.53357                          0.563052
11.8061                 3.12221                          0.637635
14.194                  2.88874                          0.67607
 5.35956                1.84874                          0.342399
 4.59989                1.97097                          0.368876
 6.49677                2.16433                          0.424916
 5.62071                2.02304                          0.434221
 3.11499                1.28837                          0.231711
 2.60917                1.10212                          0.194461
 2.49526                1.33388                          0.266643
 1.87547                1.14983                          0.187126
 1.32127                0.971612                         0.147907
 1.05464                0.810772                         0.112344
 1.23789                0.883753                         0.172838
 1.01833                0.746879                         0.156189
 0.480998               0.516393                         0.0889125
 0.387322               0.514824                         0.077134
 0.47505                0.605508                         0.105596
 0.481949               0.609909                         0.109421
 0.371754               0.499757                         0.0748834
 0.202281               0.324859                         0.035586
 0.199211               0.354535                         0.0376947
 0.267374               0.39529                          0.0513373
 0.248013               0.369693                         0.0419596
 0.179209               0.318111                         0.0251241
 0.118591               0.246933                         0.0174169
 0.0994004              0.237169                         0.0176136
 0.11766                0.277609                         0.0211287
 0.111942               0.255174                         0.0179646
 0.0912482              0.210116                         0.0141373
 0.0829255              0.197073                         0.0123644
 0.0827539              0.189828                         0.0112465
 0.0891586              0.198876                         0.011189
 0.0832545              0.188886                         0.0101553
 0.0717183              0.182497                         0.0100705
 0.0664884              0.181291                         0.0105894
 0.0629557              0.170983                         0.0101272
 0.0604465              0.159596                         0.0090925
 0.0572147              0.147447                         0.00804026
 0.0551334              0.140237                         0.00769428
 0.0558608              0.143447                         0.00791972
 0.0556536              0.144933                         0.00782493
 0.0535497              0.142031                         0.00749885
 0.0504713              0.137472                         0.00724402
 0.0472995              0.133201                         0.00721734
 0.0455085              0.130742                         0.0071715
 0.0444748              0.126581                         0.0067395
 0.0443598              0.124281                         0.00628502
 0.0443273              0.12244                          0.00600404
 0.043625               0.121247                         0.00590202
 0.0424401              0.119694                         0.00580518
 0.0410803              0.117677                         0.00564343
 0.0399639              0.11623                          0.00551546
 0.0389592              0.11474                          0.00541427
 0.0380626              0.113473                         0.0052897
 0.0374621              0.111977                         0.0051109
 0.03711                0.110772                         0.00491704
 0.0368131              0.110388                         0.00477792
 0.0362467              0.11016                          0.00469526
 0.035425               0.109391                         0.00464419
 0.0345286              0.107665                         0.00458047
 0.0337399              0.106097                         0.00450424
 0.0331057              0.105314                         0.00442828
 0.0325526              0.104633                         0.00435326
 0.0320659              0.1037                           0.00426772
 0.0316481              0.10299                          0.00417292
 0.0312634              0.10261                          0.00409269
 0.0308027              0.102058                         0.00403646
 0.0302446              0.101121                         0.00398898
 0.0297011              0.100228                         0.00393116
 0.029266               0.0997224                        0.00386556
 0.0289083              0.099356                         0.00380479
 0.0285482              0.0988062                        0.00375061
 0.0281821              0.0982221                        0.00369738
 0.0278343              0.0977312                        0.00364381
 0.0274888              0.0972204                        0.00359563
 0.0271165              0.0966078                        0.00355441
 0.0267381              0.0960247                        0.0035155
 0.0263924              0.0955349                        0.00347425
 0.0260818              0.0950923                        0.00343225
 0.0257833              0.0946632                        0.00339363
 0.0254852              0.0942339                        0.00335898
 0.02519                0.0937825                        0.00332541
 0.0248996              0.0933187                        0.00329172
 0.024615               0.0928808                        0.00325959
 0.0243381              0.0924548                        0.00322862
 0.0240724              0.0920337                        0.0031972
 0.0238218              0.0916475                        0.00316477
 0.0235843              0.0913026                        0.0031339
 0.0233493              0.0909442                        0.00310599
 0.0231106              0.0905582                        0.00307945
 0.0228755              0.0901908                        0.00305286
 0.0226511              0.0898582                        0.00302687
 0.0224336              0.0895171                        0.00300191
 0.0222194              0.0891601                        0.00297722
