,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.08136495927934795
1,1,1,VariableName.sleep_duration,0.08619196995032549
2,2,1,VariableName.sleep_duration,0.018374696053119866
3,3,1,VariableName.sleep_duration,-0.06505909186322541
4,4,1,VariableName.sleep_duration,-0.09121874785649658
5,5,1,VariableName.sleep_duration,-0.024541570148730495
6,6,1,VariableName.sleep_duration,-0.005112215414340815
7,0,2,VariableName.salt_intake,-0.1932442270248329
8,1,2,VariableName.salt_intake,0.03463849358581056
9,2,2,VariableName.salt_intake,0.001112437602843075
10,3,2,VariableName.salt_intake,0.05583902082693999
11,4,2,VariableName.salt_intake,0.012078656425293044
12,5,2,VariableName.salt_intake,0.006496627082040823
13,6,2,VariableName.salt_intake,0.08307899150190541
14,0,3,VariableName.step_count,0.015900980740939565
15,1,3,VariableName.step_count,0.023042986009780688
16,2,3,VariableName.step_count,0.0008290095612539031
17,3,3,VariableName.step_count,0.004512368574314057
18,4,3,VariableName.step_count,0.002990966393981692
19,5,3,VariableName.step_count,0.05156432287771216
20,6,3,VariableName.step_count,-0.09884063415798207
21,0,salt_intake,VariableName.sbp,0.41803938176868877
22,1,salt_intake,VariableName.sbp,-0.011955017380942179
23,2,salt_intake,VariableName.sbp,-0.16609577820021793
24,3,salt_intake,VariableName.sbp,-0.0011560275268537312
25,4,salt_intake,VariableName.sbp,-0.04244016061026007
26,5,salt_intake,VariableName.sbp,-0.06006425076035826
27,6,salt_intake,VariableName.sbp,-0.1363281472900566
28,0,salt_intake,VariableName.dbp,0.17045507477587085
29,1,salt_intake,VariableName.dbp,0.06548194485278519
30,2,salt_intake,VariableName.dbp,-0.08152814535968678
31,3,salt_intake,VariableName.dbp,-0.00017537505028003553
32,4,salt_intake,VariableName.dbp,-0.0012095685380838772
33,5,salt_intake,VariableName.dbp,-0.14832648057151657
34,6,salt_intake,VariableName.dbp,-0.0046974501090887855
35,0,sleep_duration,VariableName.sbp,-0.2860757465489678
36,1,sleep_duration,VariableName.sbp,0.027718101322305344
37,2,sleep_duration,VariableName.sbp,0.017252294798004886
38,3,sleep_duration,VariableName.sbp,0.021579948857727627
39,4,sleep_duration,VariableName.sbp,0.001572128372171161
40,5,sleep_duration,VariableName.sbp,0.04849135346319686
41,6,sleep_duration,VariableName.sbp,0.1694619197355619
42,0,sleep_duration,VariableName.dbp,-0.15172312486447145
43,1,sleep_duration,VariableName.dbp,0.03531916644945002
44,2,sleep_duration,VariableName.dbp,0.008929312525219293
45,3,sleep_duration,VariableName.dbp,0.01275456202047065
46,4,sleep_duration,VariableName.dbp,0.0574536152039795
47,5,sleep_duration,VariableName.dbp,0.016084947227793564
48,6,sleep_duration,VariableName.dbp,0.02118152143755843
49,0,step_count,VariableName.sbp,-0.3425164197814674
50,1,step_count,VariableName.sbp,0.03801216789508072
51,2,step_count,VariableName.sbp,0.013087305944608385
52,3,step_count,VariableName.sbp,0.01171144846592509
53,4,step_count,VariableName.sbp,0.007350634643405574
54,5,step_count,VariableName.sbp,0.1108370860439215
55,6,step_count,VariableName.sbp,0.16151777678852614
56,0,step_count,VariableName.dbp,-0.037600108729929936
57,1,step_count,VariableName.dbp,-0.12755084233813044
58,2,step_count,VariableName.dbp,-0.048207043836224345
59,3,step_count,VariableName.dbp,0.06966718702873845
60,4,step_count,VariableName.dbp,0.06489733114225077
61,5,step_count,VariableName.dbp,0.05695179965432126
62,6,step_count,VariableName.dbp,0.02184167707897425
