,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.029612777341469332
1,1,1,VariableName.sleep_duration,0.0112646056055144
2,2,1,VariableName.sleep_duration,0.008463313281934087
3,3,1,VariableName.sleep_duration,0.016363671462724508
4,4,1,VariableName.sleep_duration,0.02781168351614023
5,5,1,VariableName.sleep_duration,-0.047411029292541734
6,6,1,VariableName.sleep_duration,-0.046105021915240824
7,0,1,VariableName.salt_intake,-0.07716321304217999
8,1,1,VariableName.salt_intake,0.02646664044940114
9,2,1,VariableName.salt_intake,0.016712268593532538
10,3,1,VariableName.salt_intake,0.0031023931506376466
11,4,1,VariableName.salt_intake,0.00870380580048059
12,5,1,VariableName.salt_intake,0.000365303772811066
13,6,1,VariableName.salt_intake,0.02181280127531701
14,0,1,VariableName.step_count,0.352475300563776
15,1,1,VariableName.step_count,0.014092303716666199
16,2,1,VariableName.step_count,-0.03230918924705195
17,3,1,VariableName.step_count,-0.09124027111707256
18,4,1,VariableName.step_count,-0.04963454464790837
19,5,1,VariableName.step_count,-0.08476316109849677
20,6,1,VariableName.step_count,-0.10862043816991257
21,0,2,VariableName.sleep_duration,0.007242285720009501
22,1,2,VariableName.sleep_duration,0.06989828663886498
23,2,2,VariableName.sleep_duration,-0.009029088607372684
24,3,2,VariableName.sleep_duration,-0.001068472973646109
25,4,2,VariableName.sleep_duration,-0.032844690979663534
26,5,2,VariableName.sleep_duration,-0.01939934420766625
27,6,2,VariableName.sleep_duration,-0.014798975590525898
28,0,2,VariableName.salt_intake,-0.011951583592078797
29,1,2,VariableName.salt_intake,-0.05810265787689204
30,2,2,VariableName.salt_intake,-0.09807394017112474
31,3,2,VariableName.salt_intake,-0.024025113048924573
32,4,2,VariableName.salt_intake,0.008205698534765382
33,5,2,VariableName.salt_intake,0.05583467745001108
34,6,2,VariableName.salt_intake,0.12811291870424368
35,0,2,VariableName.step_count,0.046298669534445835
36,1,2,VariableName.step_count,0.019083781733761615
37,2,2,VariableName.step_count,0.006873174546217192
38,3,2,VariableName.step_count,0.02764515938789451
39,4,2,VariableName.step_count,0.04364045365472355
40,5,2,VariableName.step_count,-0.07230850720914064
41,6,2,VariableName.step_count,-0.07123273164790206
42,0,3,VariableName.sleep_duration,0.15494952283849972
43,1,3,VariableName.sleep_duration,0.04389709380565271
44,2,3,VariableName.sleep_duration,-0.005531595259319622
45,3,3,VariableName.sleep_duration,-0.07036104415597304
46,4,3,VariableName.sleep_duration,-0.11552805645057021
47,5,3,VariableName.sleep_duration,-0.004575617748230388
48,6,3,VariableName.sleep_duration,-0.002850303030059176
49,0,3,VariableName.salt_intake,-0.006685666648149613
50,1,3,VariableName.salt_intake,-0.0030825536341731455
51,2,3,VariableName.salt_intake,-0.12722431917273228
52,3,3,VariableName.salt_intake,-0.010374192995051434
53,4,3,VariableName.salt_intake,0.06366862235866158
54,5,3,VariableName.salt_intake,0.03794110533701566
55,6,3,VariableName.salt_intake,0.04575700475442924
56,0,3,VariableName.step_count,0.09279583638258733
57,1,3,VariableName.step_count,-0.04020417239039494
58,2,3,VariableName.step_count,-0.002246736190956465
59,3,3,VariableName.step_count,-0.0004915729318082929
60,4,3,VariableName.step_count,-0.030215940404834454
61,5,3,VariableName.step_count,-0.016929591319807848
62,6,3,VariableName.step_count,-0.0027078231447853264
63,0,4,VariableName.sleep_duration,0.013275591394580876
64,1,4,VariableName.sleep_duration,0.05317146224630644
65,2,4,VariableName.sleep_duration,0.046733626158840746
66,3,4,VariableName.sleep_duration,0.07112321019416118
67,4,4,VariableName.sleep_duration,0.061119277558269125
68,5,4,VariableName.sleep_duration,0.03238478443638576
69,6,4,VariableName.sleep_duration,-0.27780795198854413
70,0,4,VariableName.salt_intake,-0.18478693629423643
71,1,4,VariableName.salt_intake,0.0737098395295298
72,2,4,VariableName.salt_intake,0.0397160805223596
73,3,4,VariableName.salt_intake,0.022854612991753773
74,4,4,VariableName.salt_intake,0.040245133870774975
75,5,4,VariableName.salt_intake,0.0073117685148401
76,6,4,VariableName.salt_intake,0.0009495008649781811
77,0,4,VariableName.step_count,0.1799303406655338
78,1,4,VariableName.step_count,-0.040686500615410015
79,2,4,VariableName.step_count,-0.10660749894729962
80,3,4,VariableName.step_count,-0.0038246328846556904
81,4,4,VariableName.step_count,-0.0055190573857852206
82,5,4,VariableName.step_count,-0.001378712424045369
83,6,4,VariableName.step_count,-0.021913938408337864
84,0,salt_intake,VariableName.sbp,0.41803938176868877
85,1,salt_intake,VariableName.sbp,-0.011955017380942179
86,2,salt_intake,VariableName.sbp,-0.16609577820021793
87,3,salt_intake,VariableName.sbp,-0.0011560275268537312
88,4,salt_intake,VariableName.sbp,-0.04244016061026007
89,5,salt_intake,VariableName.sbp,-0.06006425076035826
90,6,salt_intake,VariableName.sbp,-0.1363281472900566
91,0,salt_intake,VariableName.dbp,0.17045507477587085
92,1,salt_intake,VariableName.dbp,0.06548194485278519
93,2,salt_intake,VariableName.dbp,-0.08152814535968678
94,3,salt_intake,VariableName.dbp,-0.00017537505028003553
95,4,salt_intake,VariableName.dbp,-0.0012095685380838772
96,5,salt_intake,VariableName.dbp,-0.14832648057151657
97,6,salt_intake,VariableName.dbp,-0.0046974501090887855
98,0,sleep_duration,VariableName.sbp,-0.2860757465489678
99,1,sleep_duration,VariableName.sbp,0.027718101322305344
100,2,sleep_duration,VariableName.sbp,0.017252294798004886
101,3,sleep_duration,VariableName.sbp,0.021579948857727627
102,4,sleep_duration,VariableName.sbp,0.001572128372171161
103,5,sleep_duration,VariableName.sbp,0.04849135346319686
104,6,sleep_duration,VariableName.sbp,0.1694619197355619
105,0,sleep_duration,VariableName.dbp,-0.15172312486447145
106,1,sleep_duration,VariableName.dbp,0.03531916644945002
107,2,sleep_duration,VariableName.dbp,0.008929312525219293
108,3,sleep_duration,VariableName.dbp,0.01275456202047065
109,4,sleep_duration,VariableName.dbp,0.0574536152039795
110,5,sleep_duration,VariableName.dbp,0.016084947227793564
111,6,sleep_duration,VariableName.dbp,0.02118152143755843
112,0,step_count,VariableName.sbp,-0.3425164197814674
113,1,step_count,VariableName.sbp,0.03801216789508072
114,2,step_count,VariableName.sbp,0.013087305944608385
115,3,step_count,VariableName.sbp,0.01171144846592509
116,4,step_count,VariableName.sbp,0.007350634643405574
117,5,step_count,VariableName.sbp,0.1108370860439215
118,6,step_count,VariableName.sbp,0.16151777678852614
119,0,step_count,VariableName.dbp,-0.037600108729929936
120,1,step_count,VariableName.dbp,-0.12755084233813044
121,2,step_count,VariableName.dbp,-0.048207043836224345
122,3,step_count,VariableName.dbp,0.06966718702873845
123,4,step_count,VariableName.dbp,0.06489733114225077
124,5,step_count,VariableName.dbp,0.05695179965432126
125,6,step_count,VariableName.dbp,0.02184167707897425
