,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.013560826546557991
1,1,1,VariableName.sleep_duration,0.014365328325054251
2,2,1,VariableName.sleep_duration,0.0030624493421866454
3,3,1,VariableName.sleep_duration,-0.010843181977204235
4,4,1,VariableName.sleep_duration,-0.015203124642749435
5,5,1,VariableName.sleep_duration,-0.004090261691455083
6,6,1,VariableName.sleep_duration,-0.0008520359023901358
7,0,1,VariableName.salt_intake,-0.01077788140881838
8,1,1,VariableName.salt_intake,-0.012313711038648248
9,2,1,VariableName.salt_intake,-0.01887532597895005
10,3,1,VariableName.salt_intake,-0.017548285392287935
11,4,1,VariableName.salt_intake,-0.035025664804213714
12,5,1,VariableName.salt_intake,0.05900660700761704
13,6,1,VariableName.salt_intake,0.03553426161530129
14,0,1,VariableName.step_count,0.18866562648197963
15,1,1,VariableName.step_count,0.0794299500954643
16,2,1,VariableName.step_count,0.021636815116867658
17,3,1,VariableName.step_count,0.030571811700142337
18,4,1,VariableName.step_count,-0.03936854631777098
19,5,1,VariableName.step_count,-0.1299635829905254
20,6,1,VariableName.step_count,-0.15097207408615754
21,0,2,VariableName.sleep_duration,0.023260187745708427
22,1,2,VariableName.sleep_duration,0.025662362185385326
23,2,2,VariableName.sleep_duration,0.03143197956017206
24,3,2,VariableName.sleep_duration,-0.019112004581592373
25,4,2,VariableName.sleep_duration,-0.013036339632899956
26,5,2,VariableName.sleep_duration,-0.002895108648250988
27,6,2,VariableName.sleep_duration,-0.0453110766285225
28,0,2,VariableName.salt_intake,-0.024232291377964857
29,1,2,VariableName.salt_intake,-0.011654301202531366
30,2,2,VariableName.salt_intake,-0.09954358573054861
31,3,2,VariableName.salt_intake,-0.0585913956270486
32,4,2,VariableName.salt_intake,0.13568259531359345
33,5,2,VariableName.salt_intake,0.005197270649876337
34,6,2,VariableName.salt_intake,0.053141707974623656
35,0,2,VariableName.step_count,0.09897060440861576
36,1,2,VariableName.step_count,-0.028737380275895397
37,2,2,VariableName.step_count,-0.005343727672540655
38,3,2,VariableName.step_count,-0.014471033505358229
39,4,2,VariableName.step_count,-0.03289741188042542
40,5,2,VariableName.step_count,-0.003347959203038443
41,6,2,VariableName.step_count,-0.014173091871357612
42,0,3,VariableName.sleep_duration,0.17795242716395282
43,1,3,VariableName.sleep_duration,-0.02118508899551036
44,2,3,VariableName.sleep_duration,-0.0668284521065807
45,3,3,VariableName.sleep_duration,-0.03300007278377566
46,4,3,VariableName.sleep_duration,-0.02596493014719028
47,5,3,VariableName.sleep_duration,-0.018604926486237194
48,6,3,VariableName.sleep_duration,-0.012368956644658625
49,0,3,VariableName.salt_intake,-0.004613979883168079
50,1,3,VariableName.salt_intake,-0.03405263113532627
51,2,3,VariableName.salt_intake,-0.0009611473480279561
52,3,3,VariableName.salt_intake,-0.0034805549855790596
53,4,3,VariableName.salt_intake,0.007307117307922509
54,5,3,VariableName.salt_intake,0.0015255600918900394
55,6,3,VariableName.salt_intake,0.034275635952288816
56,0,3,VariableName.step_count,0.01494139197859018
57,1,3,VariableName.step_count,0.013999654884258663
58,2,3,VariableName.step_count,0.01530250648703738
59,3,3,VariableName.step_count,4.287612643182753e-05
60,4,3,VariableName.step_count,-0.005646325393709642
61,5,3,VariableName.step_count,-0.023716519375067337
62,6,3,VariableName.step_count,-0.014923584707541071
63,0,salt_intake,VariableName.sbp,0.41803938176868877
64,1,salt_intake,VariableName.sbp,-0.011955017380942179
65,2,salt_intake,VariableName.sbp,-0.16609577820021793
66,3,salt_intake,VariableName.sbp,-0.0011560275268537312
67,4,salt_intake,VariableName.sbp,-0.04244016061026007
68,5,salt_intake,VariableName.sbp,-0.06006425076035826
69,6,salt_intake,VariableName.sbp,-0.1363281472900566
70,0,salt_intake,VariableName.dbp,0.17045507477587085
71,1,salt_intake,VariableName.dbp,0.06548194485278519
72,2,salt_intake,VariableName.dbp,-0.08152814535968678
73,3,salt_intake,VariableName.dbp,-0.00017537505028003553
74,4,salt_intake,VariableName.dbp,-0.0012095685380838772
75,5,salt_intake,VariableName.dbp,-0.14832648057151657
76,6,salt_intake,VariableName.dbp,-0.0046974501090887855
77,0,sleep_duration,VariableName.sbp,-0.2860757465489678
78,1,sleep_duration,VariableName.sbp,0.027718101322305344
79,2,sleep_duration,VariableName.sbp,0.017252294798004886
80,3,sleep_duration,VariableName.sbp,0.021579948857727627
81,4,sleep_duration,VariableName.sbp,0.001572128372171161
82,5,sleep_duration,VariableName.sbp,0.04849135346319686
83,6,sleep_duration,VariableName.sbp,0.1694619197355619
84,0,sleep_duration,VariableName.dbp,-0.15172312486447145
85,1,sleep_duration,VariableName.dbp,0.03531916644945002
86,2,sleep_duration,VariableName.dbp,0.008929312525219293
87,3,sleep_duration,VariableName.dbp,0.01275456202047065
88,4,sleep_duration,VariableName.dbp,0.0574536152039795
89,5,sleep_duration,VariableName.dbp,0.016084947227793564
90,6,sleep_duration,VariableName.dbp,0.02118152143755843
91,0,step_count,VariableName.sbp,-0.3425164197814674
92,1,step_count,VariableName.sbp,0.03801216789508072
93,2,step_count,VariableName.sbp,0.013087305944608385
94,3,step_count,VariableName.sbp,0.01171144846592509
95,4,step_count,VariableName.sbp,0.007350634643405574
96,5,step_count,VariableName.sbp,0.1108370860439215
97,6,step_count,VariableName.sbp,0.16151777678852614
98,0,step_count,VariableName.dbp,-0.037600108729929936
99,1,step_count,VariableName.dbp,-0.12755084233813044
100,2,step_count,VariableName.dbp,-0.048207043836224345
101,3,step_count,VariableName.dbp,0.06966718702873845
102,4,step_count,VariableName.dbp,0.06489733114225077
103,5,step_count,VariableName.dbp,0.05695179965432126
104,6,step_count,VariableName.dbp,0.02184167707897425
