,time,cause,effect_on,effect,Actual Params,Predicted Params,
0,0,1,VariableName.sleep_duration,1.549495228385,0.929697137031,0.9018394,2.99643140990668
1,1,1,VariableName.sleep_duration,0.438970938056527,0.263382562833916,0.28190792,7.03363083977798
2,2,1,VariableName.sleep_duration,-0.055315952593196,-0.033189571555918,-0.0146352,55.9042213746492
3,3,1,VariableName.sleep_duration,-0.70361044155973,-0.422166264935838,-0.4404212,4.32411032817517
4,4,1,VariableName.sleep_duration,-1.1552805645057,-0.69316833870342,-0.68058187,1.81578817159524
5,5,1,VariableName.sleep_duration,-0.045756177482304,-0.027453706489382,-0.01212738,55.8260739594838
6,6,1,VariableName.sleep_duration,-0.028503030300592,-0.017101818180355,-0.03062117,79.0521316334352
7,0,1,VariableName.salt_intake,-0.004457111098766,-0.00267426665926,-0.00223676,16.3598741264292
8,1,1,VariableName.salt_intake,-0.002055035756115,-0.001233021453669,-0.0008604,30.2201922407936
9,2,1,VariableName.salt_intake,-0.084816212781822,-0.050889727669093,-0.05267129,3.50082897375966
10,3,1,VariableName.salt_intake,-0.006916128663368,-0.004149677198021,-0.00444386,7.08929364720939
11,4,1,VariableName.salt_intake,0.042445748239108,0.025467448943465,0.02693592,5.76607048391399
12,5,1,VariableName.salt_intake,0.025294070224677,0.015176442134806,0.01517069,0.03790173451002
13,6,1,VariableName.salt_intake,0.030504669836286,0.018302801901772,0.0180034,1.63582550572771
14,0,1,VariableName.step_count,1855.91672765175,1113.55003659105,1122.7328,0.824638597926099
15,1,1,VariableName.step_count,-804.083447807899,-482.450068684739,-489.0222,1.36224072538284
16,2,1,VariableName.step_count,-44.9347238191294,-26.9608342914776,-24.680464,8.45808503855695
17,3,1,VariableName.step_count,-9.83145863616585,-5.89887518169951,-5.1830025,12.1357489292266
18,4,1,VariableName.step_count,-604.318808096689,-362.591284858013,-365.14987,0.705638896695745
19,5,1,VariableName.step_count,-338.591826396157,-203.155095837694,-204.76723,0.793548473720779
20,6,1,VariableName.step_count,-54.1564628957065,-32.4938777374239,-30.264498,6.86092240341102
21,0,2,VariableName.sleep_duration,0.296127773414693,0.177676664048816,0.18075937,1.73500890940693
22,1,2,VariableName.sleep_duration,0.112646056055144,0.067587633633086,0.04908394,27.3773361167478
23,2,2,VariableName.sleep_duration,0.084633132819341,0.050779879691605,0.09485355,86.7935697683059
24,3,2,VariableName.sleep_duration,0.163636714627245,0.098182028776347,0.0736105,25.0265034065649
25,4,2,VariableName.sleep_duration,0.278116835161402,0.166870101096841,0.18040565,8.11142847891236
