,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.5424330618623197
1,1,1,VariableName.sleep_duration,0.57461313300217
2,2,1,VariableName.sleep_duration,0.12249797368746584
3,3,1,VariableName.sleep_duration,-0.43372727908816944
4,4,1,VariableName.sleep_duration,-0.6081249857099773
5,5,1,VariableName.sleep_duration,-0.1636104676582033
6,6,1,VariableName.sleep_duration,-0.03408143609560543
7,0,1,VariableName.salt_intake,-0.01077788140881838
8,1,1,VariableName.salt_intake,-0.012313711038648248
9,2,1,VariableName.salt_intake,-0.01887532597895005
10,3,1,VariableName.salt_intake,-0.017548285392287935
11,4,1,VariableName.salt_intake,-0.035025664804213714
12,5,1,VariableName.salt_intake,0.05900660700761704
13,6,1,VariableName.salt_intake,0.03553426161530129
14,0,1,VariableName.step_count,943.3281324098981
15,1,1,VariableName.step_count,397.1497504773216
16,2,1,VariableName.step_count,108.18407558433819
17,3,1,VariableName.step_count,152.85905850071163
18,4,1,VariableName.step_count,-196.84273158885503
19,5,1,VariableName.step_count,-649.8179149526268
20,6,1,VariableName.step_count,-754.8603704307877
21,0,2,VariableName.sleep_duration,0.889762135819764
22,1,2,VariableName.sleep_duration,-0.10592544497755174
23,2,2,VariableName.sleep_duration,-0.3341422605329035
24,3,2,VariableName.sleep_duration,-0.1650003639188783
25,4,2,VariableName.sleep_duration,-0.1298246507359514
26,5,2,VariableName.sleep_duration,-0.09302463243118597
27,6,2,VariableName.sleep_duration,-0.06184478322329312
28,0,2,VariableName.salt_intake,-0.018455919532672317
29,1,2,VariableName.salt_intake,-0.13621052454130508
30,2,2,VariableName.salt_intake,-0.0038445893921118246
31,3,2,VariableName.salt_intake,-0.013922219942316238
32,4,2,VariableName.salt_intake,0.029228469231690035
33,5,2,VariableName.salt_intake,0.006102240367560158
34,6,2,VariableName.salt_intake,0.13710254380915526
35,0,2,VariableName.step_count,448.2417593577054
36,1,2,VariableName.step_count,419.98964652775976
37,2,2,VariableName.step_count,459.07519461112156
38,3,2,VariableName.step_count,1.2862837929546913
39,4,2,VariableName.step_count,-169.3897618112892
40,5,2,VariableName.step_count,-711.4955812520201
41,6,2,VariableName.step_count,-447.70754122623214
42,0,salt_intake,VariableName.sbp,83607876353737.75
43,1,salt_intake,VariableName.sbp,-2391003476188.4375
44,2,salt_intake,VariableName.sbp,-33219155640043.58
45,3,salt_intake,VariableName.sbp,-231205505370.75
46,4,salt_intake,VariableName.sbp,-8488032122052.016
47,5,salt_intake,VariableName.sbp,-12012850152071.648
48,6,salt_intake,VariableName.sbp,-27265629458011.32
49,0,salt_intake,VariableName.dbp,34091014955174.17
50,1,salt_intake,VariableName.dbp,13096388970557.04
51,2,salt_intake,VariableName.dbp,-16305629071937.36
52,3,salt_intake,VariableName.dbp,-35075010056.00391
53,4,salt_intake,VariableName.dbp,-241913707616.77734
54,5,salt_intake,VariableName.dbp,-29665296114303.312
55,6,salt_intake,VariableName.dbp,-939490021817.7571
56,0,sleep_duration,VariableName.sbp,-71518936637241.95
57,1,sleep_duration,VariableName.sbp,6929525330576.344
58,2,sleep_duration,VariableName.sbp,4313073699501.2188
59,3,sleep_duration,VariableName.sbp,5394987214431.914
60,4,sleep_duration,VariableName.sbp,393032093042.78906
61,5,sleep_duration,VariableName.sbp,12122838365799.219
62,6,sleep_duration,VariableName.sbp,42365479933890.47
63,0,sleep_duration,VariableName.dbp,-30344624972894.29
64,1,sleep_duration,VariableName.dbp,7063833289890.004
65,2,sleep_duration,VariableName.dbp,1785862505043.8594
66,3,sleep_duration,VariableName.dbp,2550912404094.129
67,4,sleep_duration,VariableName.dbp,11490723040795.898
68,5,sleep_duration,VariableName.dbp,3216989445558.7134
69,6,sleep_duration,VariableName.dbp,4236304287511.685
70,0,step_count,VariableName.sbp,-9786183422327.64
71,1,step_count,VariableName.sbp,1086061939859.4492
72,2,step_count,VariableName.sbp,373923026988.8115
73,3,step_count,VariableName.sbp,334612813312.14355
74,4,step_count,VariableName.sbp,210018132668.73145
75,5,step_count,VariableName.sbp,3166773886969.1865
76,6,step_count,VariableName.sbp,4614793622529.318
77,0,step_count,VariableName.dbp,-854547925680.2257
78,1,step_count,VariableName.dbp,-2898882780412.0557
79,2,step_count,VariableName.dbp,-1095614632641.4629
80,3,step_count,VariableName.dbp,1583345159744.0557
81,4,step_count,VariableName.dbp,1474939344142.0635
82,5,step_count,VariableName.dbp,1294359083052.7556
83,6,step_count,VariableName.dbp,496401751794.8693
