,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.5424330618623197
1,1,1,VariableName.sleep_duration,0.57461313300217
2,2,1,VariableName.sleep_duration,0.12249797368746584
3,3,1,VariableName.sleep_duration,-0.43372727908816944
4,4,1,VariableName.sleep_duration,-0.6081249857099773
5,5,1,VariableName.sleep_duration,-0.1636104676582033
6,6,1,VariableName.sleep_duration,-0.03408143609560543
7,0,1,VariableName.salt_intake,-0.01077788140881838
8,1,1,VariableName.salt_intake,-0.012313711038648248
9,2,1,VariableName.salt_intake,-0.01887532597895005
10,3,1,VariableName.salt_intake,-0.017548285392287935
11,4,1,VariableName.salt_intake,-0.035025664804213714
12,5,1,VariableName.salt_intake,0.05900660700761704
13,6,1,VariableName.salt_intake,0.03553426161530129
14,0,1,VariableName.step_count,943.3281324098981
15,1,1,VariableName.step_count,397.1497504773216
16,2,1,VariableName.step_count,108.18407558433819
17,3,1,VariableName.step_count,152.85905850071163
18,4,1,VariableName.step_count,-196.84273158885503
19,5,1,VariableName.step_count,-649.8179149526268
20,6,1,VariableName.step_count,-754.8603704307877
21,0,2,VariableName.sleep_duration,0.889762135819764
22,1,2,VariableName.sleep_duration,-0.10592544497755174
23,2,2,VariableName.sleep_duration,-0.3341422605329035
24,3,2,VariableName.sleep_duration,-0.1650003639188783
25,4,2,VariableName.sleep_duration,-0.1298246507359514
26,5,2,VariableName.sleep_duration,-0.09302463243118597
27,6,2,VariableName.sleep_duration,-0.06184478322329312
28,0,2,VariableName.salt_intake,-0.018455919532672317
29,1,2,VariableName.salt_intake,-0.13621052454130508
30,2,2,VariableName.salt_intake,-0.0038445893921118246
31,3,2,VariableName.salt_intake,-0.013922219942316238
32,4,2,VariableName.salt_intake,0.029228469231690035
33,5,2,VariableName.salt_intake,0.006102240367560158
34,6,2,VariableName.salt_intake,0.13710254380915526
35,0,2,VariableName.step_count,448.2417593577054
36,1,2,VariableName.step_count,419.98964652775976
37,2,2,VariableName.step_count,459.07519461112156
38,3,2,VariableName.step_count,1.2862837929546913
39,4,2,VariableName.step_count,-169.3897618112892
40,5,2,VariableName.step_count,-711.4955812520201
41,6,2,VariableName.step_count,-447.70754122623214
42,0,salt_intake,VariableName.sbp,83.60787635373775
43,1,salt_intake,VariableName.sbp,-2.3910034761884305
44,2,salt_intake,VariableName.sbp,-33.21915564004359
45,3,salt_intake,VariableName.sbp,-0.23120550537074536
46,4,salt_intake,VariableName.sbp,-8.488032122052012
47,5,salt_intake,VariableName.sbp,-12.012850152071657
48,6,salt_intake,VariableName.sbp,-27.26562945801132
49,0,salt_intake,VariableName.dbp,34.091014955174174
50,1,salt_intake,VariableName.dbp,13.096388970557037
51,2,salt_intake,VariableName.dbp,-16.305629071937357
52,3,salt_intake,VariableName.dbp,-0.03507501005600844
53,4,salt_intake,VariableName.dbp,-0.24191370761677433
54,5,salt_intake,VariableName.dbp,-29.665296114303313
55,6,salt_intake,VariableName.dbp,-0.9394900218177571
56,0,sleep_duration,VariableName.sbp,-7.151893663724195
57,1,sleep_duration,VariableName.sbp,0.6929525330576336
58,2,sleep_duration,VariableName.sbp,0.4313073699501224
59,3,sleep_duration,VariableName.sbp,0.5394987214431914
60,4,sleep_duration,VariableName.sbp,0.03930320930427911
61,5,sleep_duration,VariableName.sbp,1.2122838365799211
62,6,sleep_duration,VariableName.sbp,4.236547993389047
63,0,sleep_duration,VariableName.dbp,-6.0689249945788575
64,1,sleep_duration,VariableName.dbp,1.4127666579780005
65,2,sleep_duration,VariableName.dbp,0.3571725010087716
66,3,sleep_duration,VariableName.dbp,0.510182480818826
67,4,sleep_duration,VariableName.dbp,2.2981446081591796
68,5,sleep_duration,VariableName.dbp,0.6433978891117427
69,6,sleep_duration,VariableName.dbp,0.847260857502337
70,0,step_count,VariableName.sbp,-0.00978618342232764
71,1,step_count,VariableName.sbp,0.0010860619398594482
72,2,step_count,VariableName.sbp,0.0003739230269888122
73,3,step_count,VariableName.sbp,0.0003346128133121431
74,4,step_count,VariableName.sbp,0.0002100181326687321
75,5,step_count,VariableName.sbp,0.003166773886969186
76,6,step_count,VariableName.sbp,0.004614793622529319
77,0,step_count,VariableName.dbp,-0.0008545479256802258
78,1,step_count,VariableName.dbp,-0.0028988827804120555
79,2,step_count,VariableName.dbp,-0.0010956146326414626
80,3,step_count,VariableName.dbp,0.0015833451597440555
81,4,step_count,VariableName.dbp,0.0014749393441420634
82,5,step_count,VariableName.dbp,0.0012943590830527558
83,6,step_count,VariableName.dbp,0.0004964017517948694
