,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.23242428425775
1,1,1,VariableName.sleep_duration,0.065845640708479
2,2,1,VariableName.sleep_duration,-0.008297392888979
3,3,1,VariableName.sleep_duration,-0.10554156623396
4,4,1,VariableName.sleep_duration,-0.173292084675855
5,5,1,VariableName.sleep_duration,-0.006863426622346
6,6,1,VariableName.sleep_duration,-0.004275454545089
7,0,1,VariableName.salt_intake,-0.004457111098766
8,1,1,VariableName.salt_intake,-0.002055035756115
9,2,1,VariableName.salt_intake,-0.084816212781822
10,3,1,VariableName.salt_intake,-0.006916128663368
11,4,1,VariableName.salt_intake,0.042445748239108
12,5,1,VariableName.salt_intake,0.025294070224677
13,6,1,VariableName.salt_intake,0.030504669836286
14,0,1,VariableName.step_count,0.371183345530349
15,1,1,VariableName.step_count,-0.16081668956158
16,2,1,VariableName.step_count,-0.008986944763826
17,3,1,VariableName.step_count,-0.001966291727233
18,4,1,VariableName.step_count,-0.120863761619338
19,5,1,VariableName.step_count,-0.067718365279231
20,6,1,VariableName.step_count,-0.010831292579141
21,0,2,VariableName.sleep_duration,0.029612777341469
22,1,2,VariableName.sleep_duration,0.011264605605514
23,2,2,VariableName.sleep_duration,0.008463313281934
24,3,2,VariableName.sleep_duration,0.016363671462725
25,4,2,VariableName.sleep_duration,0.02781168351614
26,5,2,VariableName.sleep_duration,-0.047411029292542
27,6,2,VariableName.sleep_duration,-0.046105021915241
28,0,2,VariableName.salt_intake,-0.15432642608436
29,1,2,VariableName.salt_intake,0.052933280898802
30,2,2,VariableName.salt_intake,0.033424537187065
31,3,2,VariableName.salt_intake,0.006204786301275
32,4,2,VariableName.salt_intake,0.017407611600961
33,5,2,VariableName.salt_intake,0.000730607545622
34,6,2,VariableName.salt_intake,0.043625602550634
35,0,2,VariableName.step_count,0.132178237711416
36,1,2,VariableName.step_count,0.00528461389375
37,2,2,VariableName.step_count,-0.012115945967645
38,3,2,VariableName.step_count,-0.034215101668902
39,4,2,VariableName.step_count,-0.018612954242966
40,5,2,VariableName.step_count,-0.031786185411936
41,6,2,VariableName.step_count,-0.040732664313717
42,0,salt_intake,VariableName.sbp,0.836078763537378
43,1,salt_intake,VariableName.sbp,-0.023910034761884
44,2,salt_intake,VariableName.sbp,-0.332191556400436
45,3,salt_intake,VariableName.sbp,-0.002312055053707
46,4,salt_intake,VariableName.sbp,-0.08488032122052
47,5,salt_intake,VariableName.sbp,-0.120128501520717
48,6,salt_intake,VariableName.sbp,-0.272656294580113
49,0,salt_intake,VariableName.dbp,1.36364059820697
50,1,salt_intake,VariableName.dbp,0.523855558822282
51,2,salt_intake,VariableName.dbp,-0.652225162877494
52,3,salt_intake,VariableName.dbp,-0.00140300040224
53,4,salt_intake,VariableName.dbp,-0.009676548304671
54,5,salt_intake,VariableName.dbp,-1.18661184457213
55,6,salt_intake,VariableName.dbp,-0.03757960087271
56,0,sleep_duration,VariableName.sbp,-0.715189366372419
57,1,sleep_duration,VariableName.sbp,0.069295253305763
58,2,sleep_duration,VariableName.sbp,0.043130736995012
59,3,sleep_duration,VariableName.sbp,0.053949872144319
60,4,sleep_duration,VariableName.sbp,0.003930320930428
61,5,sleep_duration,VariableName.sbp,0.121228383657992
62,6,sleep_duration,VariableName.sbp,0.423654799338905
63,0,sleep_duration,VariableName.dbp,-0.303446249728943
64,1,sleep_duration,VariableName.dbp,0.0706383328989
65,2,sleep_duration,VariableName.dbp,0.017858625050439
66,3,sleep_duration,VariableName.dbp,0.025509124040941
67,4,sleep_duration,VariableName.dbp,0.114907230407959
68,5,sleep_duration,VariableName.dbp,0.032169894455587
69,6,sleep_duration,VariableName.dbp,0.042363042875117
70,0,step_count,VariableName.sbp,-0.978618342232764
71,1,step_count,VariableName.sbp,0.108606193985945
72,2,step_count,VariableName.sbp,0.037392302698881
73,3,step_count,VariableName.sbp,0.033461281331214
74,4,step_count,VariableName.sbp,0.021001813266873
75,5,step_count,VariableName.sbp,0.316677388696919
76,6,step_count,VariableName.sbp,0.461479362252932
77,0,step_count,VariableName.dbp,-0.085454792568023
78,1,step_count,VariableName.dbp,-0.289888278041206
79,2,step_count,VariableName.dbp,-0.109561463264146
80,3,step_count,VariableName.dbp,0.158334515974406
81,4,step_count,VariableName.dbp,0.147493934414206
82,5,step_count,VariableName.dbp,0.129435908305276
83,6,step_count,VariableName.dbp,0.049640175179487
