,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.08136495927934795
1,1,1,VariableName.sleep_duration,0.08619196995032549
2,2,1,VariableName.sleep_duration,0.018374696053119866
3,3,1,VariableName.sleep_duration,-0.06505909186322541
4,4,1,VariableName.sleep_duration,-0.09121874785649658
5,5,1,VariableName.sleep_duration,-0.024541570148730495
6,6,1,VariableName.sleep_duration,-0.005112215414340815
7,0,1,VariableName.salt_intake,-0.01077788140881838
8,1,1,VariableName.salt_intake,-0.012313711038648248
9,2,1,VariableName.salt_intake,-0.01887532597895005
10,3,1,VariableName.salt_intake,-0.017548285392287935
11,4,1,VariableName.salt_intake,-0.035025664804213714
12,5,1,VariableName.salt_intake,0.05900660700761704
13,6,1,VariableName.salt_intake,0.03553426161530129
14,0,1,VariableName.step_count,0.18866562648197963
15,1,1,VariableName.step_count,0.0794299500954643
16,2,1,VariableName.step_count,0.021636815116867658
17,3,1,VariableName.step_count,0.030571811700142337
18,4,1,VariableName.step_count,-0.03936854631777098
19,5,1,VariableName.step_count,-0.1299635829905254
20,6,1,VariableName.step_count,-0.15097207408615754
21,0,2,VariableName.sleep_duration,0.08897621358197641
22,1,2,VariableName.sleep_duration,-0.01059254449775518
23,2,2,VariableName.sleep_duration,-0.03341422605329035
24,3,2,VariableName.sleep_duration,-0.01650003639188783
25,4,2,VariableName.sleep_duration,-0.01298246507359514
26,5,2,VariableName.sleep_duration,-0.009302463243118597
27,6,2,VariableName.sleep_duration,-0.006184478322329313
28,0,2,VariableName.salt_intake,-0.018455919532672317
29,1,2,VariableName.salt_intake,-0.13621052454130508
30,2,2,VariableName.salt_intake,-0.0038445893921118246
31,3,2,VariableName.salt_intake,-0.013922219942316238
32,4,2,VariableName.salt_intake,0.029228469231690035
33,5,2,VariableName.salt_intake,0.006102240367560158
34,6,2,VariableName.salt_intake,0.13710254380915526
35,0,2,VariableName.step_count,0.02241208796788527
36,1,2,VariableName.step_count,0.020999482326387993
37,2,2,VariableName.step_count,0.02295375973055607
38,3,2,VariableName.step_count,6.431418964773783e-05
39,4,2,VariableName.step_count,-0.008469488090564463
40,5,2,VariableName.step_count,-0.035574779062601
41,6,2,VariableName.step_count,-0.022385377061311607
42,0,salt_intake,VariableName.sbp,0.41803938176868877
43,1,salt_intake,VariableName.sbp,-0.011955017380942179
44,2,salt_intake,VariableName.sbp,-0.16609577820021793
45,3,salt_intake,VariableName.sbp,-0.0011560275268537312
46,4,salt_intake,VariableName.sbp,-0.04244016061026007
47,5,salt_intake,VariableName.sbp,-0.06006425076035826
48,6,salt_intake,VariableName.sbp,-0.1363281472900566
49,0,salt_intake,VariableName.dbp,0.17045507477587085
50,1,salt_intake,VariableName.dbp,0.06548194485278519
51,2,salt_intake,VariableName.dbp,-0.08152814535968678
52,3,salt_intake,VariableName.dbp,-0.00017537505028003553
53,4,salt_intake,VariableName.dbp,-0.0012095685380838772
54,5,salt_intake,VariableName.dbp,-0.14832648057151657
55,6,salt_intake,VariableName.dbp,-0.0046974501090887855
56,0,sleep_duration,VariableName.sbp,-0.2860757465489678
57,1,sleep_duration,VariableName.sbp,0.027718101322305344
58,2,sleep_duration,VariableName.sbp,0.017252294798004886
59,3,sleep_duration,VariableName.sbp,0.021579948857727627
60,4,sleep_duration,VariableName.sbp,0.001572128372171161
61,5,sleep_duration,VariableName.sbp,0.04849135346319686
62,6,sleep_duration,VariableName.sbp,0.1694619197355619
63,0,sleep_duration,VariableName.dbp,-0.15172312486447145
64,1,sleep_duration,VariableName.dbp,0.03531916644945002
65,2,sleep_duration,VariableName.dbp,0.008929312525219293
66,3,sleep_duration,VariableName.dbp,0.01275456202047065
67,4,sleep_duration,VariableName.dbp,0.0574536152039795
68,5,sleep_duration,VariableName.dbp,0.016084947227793564
69,6,sleep_duration,VariableName.dbp,0.02118152143755843
70,0,step_count,VariableName.sbp,-0.3425164197814674
71,1,step_count,VariableName.sbp,0.03801216789508072
72,2,step_count,VariableName.sbp,0.013087305944608385
73,3,step_count,VariableName.sbp,0.01171144846592509
74,4,step_count,VariableName.sbp,0.007350634643405574
75,5,step_count,VariableName.sbp,0.1108370860439215
76,6,step_count,VariableName.sbp,0.16151777678852614
77,0,step_count,VariableName.dbp,-0.037600108729929936
78,1,step_count,VariableName.dbp,-0.12755084233813044
79,2,step_count,VariableName.dbp,-0.048207043836224345
80,3,step_count,VariableName.dbp,0.06966718702873845
81,4,step_count,VariableName.dbp,0.06489733114225077
82,5,step_count,VariableName.dbp,0.05695179965432126
83,6,step_count,VariableName.dbp,0.02184167707897425
