,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.10661394451831537
1,1,1,VariableName.sleep_duration,0.01771746305024094
2,2,1,VariableName.sleep_duration,0.07977966875000221
3,3,1,VariableName.sleep_duration,0.017872796295973437
4,4,1,VariableName.sleep_duration,0.068102911775488
5,5,1,VariableName.sleep_duration,0.0023301868345512178
6,6,1,VariableName.sleep_duration,-0.29241697122457116
7,0,1,VariableName.salt_intake,-0.013783130221645491
8,1,1,VariableName.salt_intake,-0.008291495916888002
9,2,1,VariableName.salt_intake,-0.005509129068441088
10,3,1,VariableName.salt_intake,-0.024329436307863505
11,4,1,VariableName.salt_intake,-0.04486266645562477
12,5,1,VariableName.salt_intake,0.03195927073484531
13,6,1,VariableName.salt_intake,0.06481658723561755
14,0,1,VariableName.step_count,0.3958100331780109
15,1,1,VariableName.step_count,-0.03250079861184518
16,2,1,VariableName.step_count,-0.18932714695541453
17,3,1,VariableName.step_count,-0.0103734829736013
18,4,1,VariableName.step_count,-0.03070903806005107
19,5,1,VariableName.step_count,-0.12119119053668115
20,6,1,VariableName.step_count,-0.011708376040417657
21,0,2,VariableName.sleep_duration,0.0010585739586393417
22,1,2,VariableName.sleep_duration,0.025639015910219654
23,2,2,VariableName.sleep_duration,0.035689082658026366
24,3,2,VariableName.sleep_duration,0.03410612176766763
25,4,2,VariableName.sleep_duration,-0.017347421298460036
26,5,2,VariableName.sleep_duration,-0.03517084181180814
27,6,2,VariableName.sleep_duration,-0.04397453118428481
28,0,2,VariableName.salt_intake,-0.182079169152987
29,1,2,VariableName.salt_intake,0.0024964588557814804
30,2,2,VariableName.salt_intake,0.06265013751932619
31,3,2,VariableName.salt_intake,0.018575765650763937
32,4,2,VariableName.salt_intake,0.03236463037327619
33,5,2,VariableName.salt_intake,0.005282406623097757
34,6,2,VariableName.salt_intake,0.06070977013074144
35,0,2,VariableName.step_count,0.04143715012038815
36,1,2,VariableName.step_count,0.012966790098702906
37,2,2,VariableName.step_count,0.045913441229748074
38,3,2,VariableName.step_count,0.03709025479240953
39,4,2,VariableName.step_count,-0.12653654760392025
40,5,2,VariableName.step_count,-0.01004686596595401
41,6,2,VariableName.step_count,-0.0008242226713744083
42,0,salt_intake,VariableName.sbp,0.41803938176868877
43,1,salt_intake,VariableName.sbp,-0.011955017380942179
44,2,salt_intake,VariableName.sbp,-0.16609577820021793
45,3,salt_intake,VariableName.sbp,-0.0011560275268537312
46,4,salt_intake,VariableName.sbp,-0.04244016061026007
47,5,salt_intake,VariableName.sbp,-0.06006425076035826
48,6,salt_intake,VariableName.sbp,-0.1363281472900566
49,0,salt_intake,VariableName.dbp,0.17045507477587085
50,1,salt_intake,VariableName.dbp,0.06548194485278519
51,2,salt_intake,VariableName.dbp,-0.08152814535968678
52,3,salt_intake,VariableName.dbp,-0.00017537505028003553
53,4,salt_intake,VariableName.dbp,-0.0012095685380838772
54,5,salt_intake,VariableName.dbp,-0.14832648057151657
55,6,salt_intake,VariableName.dbp,-0.0046974501090887855
56,0,sleep_duration,VariableName.sbp,-0.2860757465489678
57,1,sleep_duration,VariableName.sbp,0.027718101322305344
58,2,sleep_duration,VariableName.sbp,0.017252294798004886
59,3,sleep_duration,VariableName.sbp,0.021579948857727627
60,4,sleep_duration,VariableName.sbp,0.001572128372171161
61,5,sleep_duration,VariableName.sbp,0.04849135346319686
62,6,sleep_duration,VariableName.sbp,0.1694619197355619
63,0,sleep_duration,VariableName.dbp,-0.15172312486447145
64,1,sleep_duration,VariableName.dbp,0.03531916644945002
65,2,sleep_duration,VariableName.dbp,0.008929312525219293
66,3,sleep_duration,VariableName.dbp,0.01275456202047065
67,4,sleep_duration,VariableName.dbp,0.0574536152039795
68,5,sleep_duration,VariableName.dbp,0.016084947227793564
69,6,sleep_duration,VariableName.dbp,0.02118152143755843
70,0,step_count,VariableName.sbp,-0.3425164197814674
71,1,step_count,VariableName.sbp,0.03801216789508072
72,2,step_count,VariableName.sbp,0.013087305944608385
73,3,step_count,VariableName.sbp,0.01171144846592509
74,4,step_count,VariableName.sbp,0.007350634643405574
75,5,step_count,VariableName.sbp,0.1108370860439215
76,6,step_count,VariableName.sbp,0.16151777678852614
77,0,step_count,VariableName.dbp,-0.037600108729929936
78,1,step_count,VariableName.dbp,-0.12755084233813044
79,2,step_count,VariableName.dbp,-0.048207043836224345
80,3,step_count,VariableName.dbp,0.06966718702873845
81,4,step_count,VariableName.dbp,0.06489733114225077
82,5,step_count,VariableName.dbp,0.05695179965432126
83,6,step_count,VariableName.dbp,0.02184167707897425
