,time,cause,effect_on,effect
0,0,1,VariableName.sleep_duration,0.10661394451831537
1,1,1,VariableName.sleep_duration,0.1243314075685563
2,2,1,VariableName.sleep_duration,0.20411107631855852
3,3,1,VariableName.sleep_duration,0.22198387261453195
4,4,1,VariableName.sleep_duration,0.29008678439001995
5,5,1,VariableName.sleep_duration,0.29241697122457116
6,6,1,VariableName.sleep_duration,0.0
7,0,1,VariableName.salt_intake,-0.013783130221645491
8,1,1,VariableName.salt_intake,-0.022074626138533494
9,2,1,VariableName.salt_intake,-0.02758375520697458
10,3,1,VariableName.salt_intake,-0.051913191514838086
11,4,1,VariableName.salt_intake,-0.09677585797046286
12,5,1,VariableName.salt_intake,-0.06481658723561755
13,6,1,VariableName.salt_intake,0.0
14,0,1,VariableName.step_count,0.3958100331780109
15,1,1,VariableName.step_count,0.3633092345661657
16,2,1,VariableName.step_count,0.17398208761075118
17,3,1,VariableName.step_count,0.16360860463714988
18,4,1,VariableName.step_count,0.1328995665770988
19,5,1,VariableName.step_count,0.011708376040417662
20,6,1,VariableName.step_count,5.204170427930421e-18
21,0,2,VariableName.sleep_duration,0.0010585739586393417
22,1,2,VariableName.sleep_duration,0.026697589868858996
23,2,2,VariableName.sleep_duration,0.06238667252688536
24,3,2,VariableName.sleep_duration,0.09649279429455299
25,4,2,VariableName.sleep_duration,0.07914537299609295
26,5,2,VariableName.sleep_duration,0.04397453118428481
27,6,2,VariableName.sleep_duration,0.0
28,0,2,VariableName.salt_intake,-0.182079169152987
29,1,2,VariableName.salt_intake,-0.17958271029720552
30,2,2,VariableName.salt_intake,-0.11693257277787933
31,3,2,VariableName.salt_intake,-0.09835680712711539
32,4,2,VariableName.salt_intake,-0.0659921767538392
33,5,2,VariableName.salt_intake,-0.06070977013074144
34,6,2,VariableName.salt_intake,0.0
35,0,2,VariableName.step_count,0.04143715012038815
36,1,2,VariableName.step_count,0.054403940219091056
37,2,2,VariableName.step_count,0.10031738144883913
38,3,2,VariableName.step_count,0.13740763624124866
39,4,2,VariableName.step_count,0.010871088637328413
40,5,2,VariableName.step_count,0.0008242226713744034
41,6,2,VariableName.step_count,-4.87890977618477e-18
42,0,salt_intake,VariableName.sbp,0.41803938176868877
43,1,salt_intake,VariableName.sbp,0.4060843643877466
44,2,salt_intake,VariableName.sbp,0.23998858618752866
45,3,salt_intake,VariableName.sbp,0.23883255866067493
46,4,salt_intake,VariableName.sbp,0.19639239805041486
47,5,salt_intake,VariableName.sbp,0.1363281472900566
48,6,salt_intake,VariableName.sbp,0.0
49,0,salt_intake,VariableName.dbp,0.17045507477587085
50,1,salt_intake,VariableName.dbp,0.23593701962865604
51,2,salt_intake,VariableName.dbp,0.15440887426896927
52,3,salt_intake,VariableName.dbp,0.15423349921868923
53,4,salt_intake,VariableName.dbp,0.15302393068060535
54,5,salt_intake,VariableName.dbp,0.0046974501090887855
55,6,salt_intake,VariableName.dbp,0.0
56,0,sleep_duration,VariableName.sbp,-0.2860757465489678
57,1,sleep_duration,VariableName.sbp,-0.25835764522666244
58,2,sleep_duration,VariableName.sbp,-0.24110535042865755
59,3,sleep_duration,VariableName.sbp,-0.21952540157092992
60,4,sleep_duration,VariableName.sbp,-0.21795327319875876
61,5,sleep_duration,VariableName.sbp,-0.1694619197355619
62,6,sleep_duration,VariableName.sbp,0.0
63,0,sleep_duration,VariableName.dbp,-0.15172312486447145
64,1,sleep_duration,VariableName.dbp,-0.11640395841502144
65,2,sleep_duration,VariableName.dbp,-0.10747464588980214
66,3,sleep_duration,VariableName.dbp,-0.09472008386933149
67,4,sleep_duration,VariableName.dbp,-0.03726646866535199
68,5,sleep_duration,VariableName.dbp,-0.02118152143755843
69,6,sleep_duration,VariableName.dbp,0.0
70,0,step_count,VariableName.sbp,-0.3425164197814674
71,1,step_count,VariableName.sbp,-0.3045042518863867
72,2,step_count,VariableName.sbp,-0.2914169459417783
73,3,step_count,VariableName.sbp,-0.2797054974758532
74,4,step_count,VariableName.sbp,-0.27235486283244764
75,5,step_count,VariableName.sbp,-0.16151777678852614
76,6,step_count,VariableName.sbp,0.0
77,0,step_count,VariableName.dbp,-0.037600108729929936
78,1,step_count,VariableName.dbp,-0.16515095106806038
79,2,step_count,VariableName.dbp,-0.21335799490428473
80,3,step_count,VariableName.dbp,-0.14369080787554628
81,4,step_count,VariableName.dbp,-0.07879347673329551
82,5,step_count,VariableName.dbp,-0.021841677078974248
83,6,step_count,VariableName.dbp,3.469446951953614e-18
